ELEM_KOD;TELEP_NEV;JARAS_NEV;MEGYE_NEV;REGIO_NEV;NAGYREGIO_NEV;VALUE
2098;Tárkány;Kisbéri;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;423.2
3108;Székely;Kemecsei;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;323.4
3271;Feketeerdő;Mosonmagyaróvári;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;480.8
2266;Gyöngyösmellék;Szigetvári;Baranya;Dél-Dunántúl;Dunántúl;312.3
2071;Bedegkér;Tabi;Somogy;Dél-Dunántúl;Dunántúl;341.1
3058;Somogyacsa;Tabi;Somogy;Dél-Dunántúl;Dunántúl;418.9
3059;Mikosszéplak;Vasvári;Vas;Nyugat-Dunántúl;Dunántúl;385.9
2404;Monostorapáti;Tapolcai;Veszprém;Közép-Dunántúl;Dunántúl;479.7
3255;Gödöllő;Gödöllői;Pest;Pest;Közép-Magyarország;459.5
3418;Alsóbogát;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;598.2
2413;Rigyác;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;486.6
2417;Tereske;Rétsági;Nógrád;Észak-Magyarország;Alföld és Észak;364.3
3099;Semjénháza;Letenyei;Zala;Nyugat-Dunántúl;Dunántúl;499
3267;Rinyakovácsi;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;263.7
2427;Pakod;Zalaszentgróti;Zala;Nyugat-Dunántúl;Dunántúl;444.7
2431;Csököly;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;355.2
1929;Galvács;Edelényi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;414.6
2268;Letkés;Szobi;Pest;Pest;Közép-Magyarország;440
2891;Egerág;Pécsi;Baranya;Dél-Dunántúl;Dunántúl;465.7
2894;Győröcske;Záhonyi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;403.5
2045;Csanádapáca;Orosházi;Békés;Dél-Alföld;Alföld és Észak;376.7
2899;Kisláng;Enyingi;Fejér;Közép-Dunántúl;Dunántúl;390.6
2907;Kisberzseny;Devecseri;Veszprém;Közép-Dunántúl;Dunántúl;408.2
3078;Bodrogkeresztúr;Tokaji;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;513.3
3410;Bocskaikert;Hajdúhadházi;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;457.9
3062;Tiszakécske;Tiszakécskei;Bács-Kiskun;Dél-Alföld;Alföld és Észak;529.3
2407;Deszk;Szegedi;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;458.6
2072;Balatonfenyves;Fonyódi;Somogy;Dél-Dunántúl;Dunántúl;555.9
2073;Sajóvámos;Miskolci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;429.9
2233;Komlódtótfalu;Csengeri;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;467.9
2409;Csengersima;Csengeri;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;327.4
3420;Kulcs;Dunaújvárosi;Fejér;Közép-Dunántúl;Dunántúl;510.7
1747;Hajdúszovát;Hajdúszoboszlói;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;304.3
2420;Sobor;Csornai;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;417.9
1753;Gyöngyöshalász;Gyöngyösi;Heves;Észak-Magyarország;Alföld és Észak;510.1
2596;Konyár;Derecskei;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;264.1
1933;Veszprémgalsa;Sümegi;Veszprém;Közép-Dunántúl;Dunántúl;545.5
2774;Pap;Kisvárdai;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;420.7
